numero,codigo,nombre,grupo,descripcion
340,"0611","PUERTO RICO",C07_paises,"PUERTO RICO"
341,"0618",QATAR,C07_paises,QATAR
342,"0628","REINO UNIDO",C07_paises,"REINO UNIDO"
343,"0640","REPUBLICA CENTRO AFRICANA",C07_paises,"REPUBLICA CENTRO AFRICANA"
344,"0647","REPUBLICA DOMINICANA",C07_paises,"REPUBLICA DOMINICANA"
345,"0660","ISLA REUNION",C07_paises,"ISLA REUNION"
346,"0665",RODESIA,C07_paises,RODESIA
347,"0670",RUMANIA,C07_paises,RUMANIA
348,"0675",RWANDA,C07_paises,RWANDA
349,"0685","SAHARA ESPANOL",C07_paises,"SAHARA ESPANOL"
350,"0690","SAMCA OCCIDENTAL",C07_paises,"SAMCA OCCIDENTAL"
351,"0695","SAN CRISTOBAL, NIEVES Y ANGUIL",C07_paises,"SAN CRISTOBAL, NIEVES Y ANGUIL"
352,"0700","SAN PEDRO Y MIQUELON",C07_paises,"SAN PEDRO Y MIQUELON"
353,"0705","ISLA SAN VICENTE",C07_paises,"ISLA SAN VICENTE"
354,"0710","SANTA ELENA",C07_paises,"SANTA ELENA"
355,"0715","SANTA LUCIA",C07_paises,"SANTA LUCIA"
356,"0720","ISLAS DE SANTO TOMAS Y PRINCIP",C07_paises,"ISLAS DE SANTO TOMAS Y PRINCIP"
357,"0728",SENEGAL,C07_paises,SENEGAL
358,"0731",SEYCHELLES,C07_paises,SEYCHELLES
359,"0735","SIERRA LEONA",C07_paises,"SIERRA LEONA"
360,"0738",SIKKIN,C07_paises,SIKKIN
361,"0741",SINGAPUR,C07_paises,SINGAPUR
362,"0744",SIRIA,C07_paises,SIRIA
363,"0748",SOMALIA,C07_paises,SOMALIA
364,"0750","SRI LANKA",C07_paises,"SRI LANKA"
365,"0756",SUDAFRICA,C07_paises,SUDAFRICA
366,"0759",SUDAN,C07_paises,SUDAN
367,"0764",SUECIA,C07_paises,SUECIA
368,"0767",SUIZA,C07_paises,SUIZA
369,"0770",SURINAM,C07_paises,SURINAM
370,"0776",TAILANDIA,C07_paises,TAILANDIA
371,"0780",TANZANIA,C07_paises,TANZANIA
372,"0783",DJIBUTI,C07_paises,DJIBUTI
373,"0795","TIMOR PORTUGUES",C07_paises,"TIMOR PORTUGUES"
374,"0800",TOGO,C07_paises,TOGO
375,"0805","ISLAS TOKELAU",C07_paises,"ISLAS TOKELAU"
376,"0810","ISLAS TONGA",C07_paises,"ISLAS TONGA"
377,"0815","TRINIDAD Y TOBAGO",C07_paises,"TRINIDAD Y TOBAGO"
378,"0820",TUNEZ,C07_paises,TUNEZ
379,"0823","ISLAS TURCAS Y CAICOS",C07_paises,"ISLAS TURCAS Y CAICOS"
380,"0827",TURQUIA,C07_paises,TURQUIA
381,"0833",UGANDA,C07_paises,UGANDA
382,"0840","COMUNIDAD DE ESTADOS INDEPEND.",C07_paises,"COMUNIDAD DE ESTADOS INDEPEND."
383,"0845",URUGUAY,C07_paises,URUGUAY
384,"0850",VENEZUELA,C07_paises,VENEZUELA
385,"0855",VIETNAM,C07_paises,VIETNAM
386,"0858","VIETNAM DEL SUR",C07_paises,"VIETNAM DEL SUR"
387,"0863","ISLAS VIRGENES BRITANICAS",C07_paises,"ISLAS VIRGENES BRITANICAS"
388,"0866","ISLAS VIRGENES DE NORTEAMERICA",C07_paises,"ISLAS VIRGENES DE NORTEAMERICA"
389,"0870","ISLAS FIDJI",C07_paises,"ISLAS FIDJI"
390,"0880","REPUBLICA DE YEMEN",C07_paises,"REPUBLICA DE YEMEN"
391,"0882","REPUBLICA ARABE DEL YEMEN",C07_paises,"REPUBLICA ARABE DEL YEMEN"
392,"0885",YUGOSLAVIA,C07_paises,YUGOSLAVIA
393,"0888",ZAIRE,C07_paises,ZAIRE
394,"0889",ESLOVENIA,C07_paises,ESLOVENIA
395,"0890",ZAMBIA,C07_paises,ZAMBIA
396,"0891",CROACIA,C07_paises,CROACIA
397,"0900",ZIMBABWE,C07_paises,ZIMBABWE
398,"0901","REPUBLICA DE ESTONIA",C07_paises,"REPUBLICA DE ESTONIA"
399,"0902",RUSIA,C07_paises,RUSIA
400,"0903",INGLATERRA,C07_paises,INGLATERRA
401,"0904","PAISES BAJOS",C07_paises,"PAISES BAJOS"
402,"0905","ISLAS BERMUDAS",C07_paises,"ISLAS BERMUDAS"
403,"0906","GRAN CAIMAN",C07_paises,"GRAN CAIMAN"
404,"0907",CURAZAO,C07_paises,CURAZAO
405,"0908",AZERBAIYAN,C07_paises,AZERBAIYAN
406,"01",CHUQUISACA,C08_departamentos,CHUQUISACA
407,"02","LA PAZ",C08_departamentos,"LA PAZ"
408,"03",COCHABAMBA,C08_departamentos,COCHABAMBA
409,"04",ORURO,C08_departamentos,ORURO
410,"05",POTOSI,C08_departamentos,POTOSI
411,"06",TARIJA,C08_departamentos,TARIJA
412,"07","SANTA CRUZ",C08_departamentos,"SANTA CRUZ"
413,"08",BENI,C08_departamentos,BENI
414,"09",PANDO,C08_departamentos,PANDO
415,"0101",OROPEZA,C09_provincias,OROPEZA
416,"0102",AZURDUY,C09_provincias,AZURDUY
417,"0103",ZUDAÑEZ,C09_provincias,ZUDAÑEZ
418,"0104",TOMINA,C09_provincias,TOMINA
419,"0105","HERNANDO SILES",C09_provincias,"HERNANDO SILES"
420,"0106",YAMPARAEZ,C09_provincias,YAMPARAEZ
421,"0107","NOR CINTI",C09_provincias,"NOR CINTI"
422,"0108","BELISARIO BOETO",C09_provincias,"BELISARIO BOETO"
423,"0109","SUD CINTI",C09_provincias,"SUD CINTI"
424,"0110","LUIS CALVO",C09_provincias,"LUIS CALVO"
425,"0201",MURILLO,C09_provincias,MURILLO
426,"0202",OMASUYOS,C09_provincias,OMASUYOS
427,"0203",PACAJES,C09_provincias,PACAJES
428,"0204",CAMACHO,C09_provincias,CAMACHO
429,"0205",MUÑECAS,C09_provincias,MUÑECAS
430,"0206",LARECAJA,C09_provincias,LARECAJA
431,"0207","FRANZ TAMAYO",C09_provincias,"FRANZ TAMAYO"
432,"0208",INGAVI,C09_provincias,INGAVI
433,"0209",LOAYZA,C09_provincias,LOAYZA
434,"0210",INQUISIVI,C09_provincias,INQUISIVI
435,"0211","SUD YUNGAS",C09_provincias,"SUD YUNGAS"
436,"0212","LOS ANDES",C09_provincias,"LOS ANDES"
437,"0213",AROMA,C09_provincias,AROMA
438,"0214","NOR YUNGAS",C09_provincias,"NOR YUNGAS"
439,"0215","ABEL ITURRALDE",C09_provincias,"ABEL ITURRALDE"
440,"0216","BAUTISTA SAAVEDRA",C09_provincias,"BAUTISTA SAAVEDRA"
441,"0217","MANCO KAPAC",C09_provincias,"MANCO KAPAC"
442,"0218","GUALBERTO VILLARROEL",C09_provincias,"GUALBERTO VILLARROEL"
443,"0219","JOSE MANUEL PANDO",C09_provincias,"JOSE MANUEL PANDO"
444,"0220",CARANAVI,C09_provincias,CARANAVI
445,"0301","CERCADO (COCHABAMBA)",C09_provincias,"CERCADO (COCHABAMBA)"
446,"0302",CAMPERO,C09_provincias,CAMPERO
447,"0303",AYOPAYA,C09_provincias,AYOPAYA
448,"0304","ESTEBAN ARCE",C09_provincias,"ESTEBAN ARCE"
449,"0305",ARANI,C09_provincias,ARANI
450,"0306",ARQUE,C09_provincias,ARQUE
451,"0307",CAPINOTA,C09_provincias,CAPINOTA
452,"0308","GERMAN JORDAN",C09_provincias,"GERMAN JORDAN"
453,"0309",QUILLACOLLO,C09_provincias,QUILLACOLLO
454,"0310",CHAPARE,C09_provincias,CHAPARE
455,"0311",TAPACARI,C09_provincias,TAPACARI
456,"0312",CARRASCO,C09_provincias,CARRASCO
457,"0313",MIZQUE,C09_provincias,MIZQUE
458,"0314",PUNATA,C09_provincias,PUNATA
459,"0315",BOLIVAR,C09_provincias,BOLIVAR
460,"0316",TIRAQUE,C09_provincias,TIRAQUE
461,"0401",CERCADO,C09_provincias,CERCADO
462,"0402","EDUARDO AVAROA",C09_provincias,"EDUARDO AVAROA"
463,"0403",CARANGAS,C09_provincias,CARANGAS
464,"0404",SAJAMA,C09_provincias,SAJAMA
465,"0405","LITORAL DE ATACAMA",C09_provincias,"LITORAL DE ATACAMA"
466,"0406",POOPO,C09_provincias,POOPO
467,"0407","PANTALEON DALENCE",C09_provincias,"PANTALEON DALENCE"
468,"0408","LADISLAO CABRERA",C09_provincias,"LADISLAO CABRERA"
469,"0409",SABAYA,C09_provincias,SABAYA
470,"0410",SAUCARI,C09_provincias,SAUCARI
471,"0411","TOMAS BARRON",C09_provincias,"TOMAS BARRON"
472,"0412","SUD CARANGAS",C09_provincias,"SUD CARANGAS"
473,"0413","SAN PEDRO DE TOTORA",C09_provincias,"SAN PEDRO DE TOTORA"
474,"0414","SEBASTIAN PAGADOR",C09_provincias,"SEBASTIAN PAGADOR"
475,"0415","PUERTO DE MEJILLONES",C09_provincias,"PUERTO DE MEJILLONES"
476,"0416","NOR CARANGAS",C09_provincias,"NOR CARANGAS"
477,"0501","TOMAS FRIAS",C09_provincias,"TOMAS FRIAS"
478,"0502","RAFAEL BUSTILLO",C09_provincias,"RAFAEL BUSTILLO"
479,"0503","CORNELIO SAAVEDRA",C09_provincias,"CORNELIO SAAVEDRA"
480,"0504",CHAYANTA,C09_provincias,CHAYANTA
481,"0505",CHARCAS,C09_provincias,CHARCAS
482,"0506","NOR CHICHAS",C09_provincias,"NOR CHICHAS"
483,"0507","ALONSO DE IBAÑEZ",C09_provincias,"ALONSO DE IBAÑEZ"
484,"0508","SUR CHICHAS",C09_provincias,"SUR CHICHAS"
485,"0509","NOR LIPEZ",C09_provincias,"NOR LIPEZ"
486,"0510","SUR LIPEZ",C09_provincias,"SUR LIPEZ"
487,"0511","JOSE MARIA LINARES",C09_provincias,"JOSE MARIA LINARES"
488,"0512","ANTONIO QUIJARRO",C09_provincias,"ANTONIO QUIJARRO"
489,"0513","BERNARDINO BILBAO RIOJA",C09_provincias,"BERNARDINO BILBAO RIOJA"
490,"0514","DANIEL CAMPOS",C09_provincias,"DANIEL CAMPOS"
491,"0515","MODESTO OMISTE",C09_provincias,"MODESTO OMISTE"
492,"0516","ENRIQUE BALDIVIESO",C09_provincias,"ENRIQUE BALDIVIESO"
493,"0517",QUIJARRO,C09_provincias,QUIJARRO
494,"0601",CERCADO,C09_provincias,CERCADO
495,"0602","ANICETO ARCE",C09_provincias,"ANICETO ARCE"
496,"0603","GRAN CHACO",C09_provincias,"GRAN CHACO"
497,"0604",AVILES,C09_provincias,AVILES
498,"0605",MENDEZ,C09_provincias,MENDEZ
499,"0606","BURNET O' OCONNOR",C09_provincias,"BURNET O' OCONNOR"
500,"0701","ANDRES IBAÑEZ",C09_provincias,"ANDRES IBAÑEZ"
501,"0702",WARNES,C09_provincias,WARNES
502,"0703",VELASCO,C09_provincias,VELASCO
503,"0704",ICHILO,C09_provincias,ICHILO
504,"0705",CHIQUITOS,C09_provincias,CHIQUITOS
505,"0706",SARA,C09_provincias,SARA
506,"0707",CORDILLERA,C09_provincias,CORDILLERA
507,"0708",VALLEGRANDE,C09_provincias,VALLEGRANDE
508,"0709",FLORIDA,C09_provincias,FLORIDA
509,"0710","OBISPO SANTISTEVAN",C09_provincias,"OBISPO SANTISTEVAN"
510,"0711","ÑUFLO DE CHAVEZ",C09_provincias,"ÑUFLO DE CHAVEZ"
511,"0712","ANGEL SANDOVAL",C09_provincias,"ANGEL SANDOVAL"
512,"0713","MANUEL MARIA CABALLERO",C09_provincias,"MANUEL MARIA CABALLERO"
513,"0714","GERMAN BUSCH",C09_provincias,"GERMAN BUSCH"
514,"0715",GUARAYOS,C09_provincias,GUARAYOS
515,"0801",CERCADO,C09_provincias,CERCADO
516,"0802","VACA DIEZ",C09_provincias,"VACA DIEZ"
517,"0803","JOSE BALLIVIAN",C09_provincias,"JOSE BALLIVIAN"
518,"0804",YACUMA,C09_provincias,YACUMA
519,"0805",MOXOS,C09_provincias,MOXOS
520,"0806",MARBAN,C09_provincias,MARBAN
521,"0807",MAMORE,C09_provincias,MAMORE
522,"0808",ITENEZ,C09_provincias,ITENEZ
523,"0901","NICOLAS SUAREZ",C09_provincias,"NICOLAS SUAREZ"
524,"0902",MANURIPI,C09_provincias,MANURIPI
525,"0903","MADRE DE DIOS",C09_provincias,"MADRE DE DIOS"
526,"0904",ABUNA,C09_provincias,ABUNA
527,"0905","FEDERICO ROMAN",C09_provincias,"FEDERICO ROMAN"
528,"010101",SUCRE,C10_municipios,SUCRE
529,"010102",YOTALA,C10_municipios,YOTALA
530,"010103",POROMA,C10_municipios,POROMA
531,"010104",CHUQUISACA,C10_municipios,CHUQUISACA
532,"010199",OROPEZA,C10_municipios,OROPEZA
533,"010201",AZURDUY,C10_municipios,AZURDUY
534,"010202",TARVITA,C10_municipios,TARVITA
535,"010301",ZUDAÑEZ,C10_municipios,ZUDAÑEZ
536,"010302",PRESTO,C10_municipios,PRESTO
537,"010303",MOJOCOYA,C10_municipios,MOJOCOYA
538,"010304",ICLA,C10_municipios,ICLA
539,"010401",PADILLA,C10_municipios,PADILLA
540,"010402",TOMINA,C10_municipios,TOMINA
541,"010403",SOPACHUY,C10_municipios,SOPACHUY
542,"010404","VILLA ALCALA",C10_municipios,"VILLA ALCALA"
543,"010405","EL VILLAR",C10_municipios,"EL VILLAR"
544,"010501",MONTEAGUDO,C10_municipios,MONTEAGUDO
545,"010502",HUACARETA,C10_municipios,HUACARETA
546,"010599","HERNANDO SILES",C10_municipios,"HERNANDO SILES"
547,"010601",TARABUCO,C10_municipios,TARABUCO
548,"010602",YAMPARAEZ,C10_municipios,YAMPARAEZ
549,"010701",CAMARGO,C10_municipios,CAMARGO
550,"010702","SAN LUCAS",C10_municipios,"SAN LUCAS"
551,"010703",INCAHUASI,C10_municipios,INCAHUASI
552,"010704","VILLA CHARCAS",C10_municipios,"VILLA CHARCAS"
553,"010799","NOR CINTI",C10_municipios,"NOR CINTI"
554,"010801","VILLA SERRANO",C10_municipios,"VILLA SERRANO"
555,"010899","BELISARIO BOETO",C10_municipios,"BELISARIO BOETO"
556,"010901","VILLA ABECIA",C10_municipios,"VILLA ABECIA"
557,"010902",CULPINA,C10_municipios,CULPINA
558,"010903","LAS CARRERAS",C10_municipios,"LAS CARRERAS"
559,"010999","SUD CINTI",C10_municipios,"SUD CINTI"
560,"011001",MUYUPAMPA,C10_municipios,MUYUPAMPA
561,"011002",HUACAYA,C10_municipios,HUACAYA
562,"011003",MACHARETI,C10_municipios,MACHARETI
563,"011099","LUIS CALVO",C10_municipios,"LUIS CALVO"
564,"019999",CAMATAQUI,C10_municipios,CAMATAQUI
565,"020101","LA PAZ",C10_municipios,"LA PAZ"
566,"020102",PALCA,C10_municipios,PALCA
567,"020103",MECAPACA,C10_municipios,MECAPACA
568,"020104",ACHOCALLA,C10_municipios,ACHOCALLA
569,"020105","EL ALTO",C10_municipios,"EL ALTO"
570,"020199","PEDRO DOMINGO MURILLO",C10_municipios,"PEDRO DOMINGO MURILLO"
571,"020201",ACHACACHI,C10_municipios,ACHACACHI
572,"020202",ANCORAIMES,C10_municipios,ANCORAIMES
573,"020203","CHUA COCANI",C10_municipios,"CHUA COCANI"
574,"020204",HUARINA,C10_municipios,HUARINA
575,"020205","SANTIAGO DE HUATA",C10_municipios,"SANTIAGO DE HUATA"
576,"020206",HUATAJATA,C10_municipios,HUATAJATA
577,"020299",OMASUYOS,C10_municipios,OMASUYOS
578,"020301",COROCORO,C10_municipios,COROCORO
579,"020302",CAQUIAVIRI,C10_municipios,CAQUIAVIRI
580,"020303",CALACOTO,C10_municipios,CALACOTO
581,"020304",COMANCHE,C10_municipios,COMANCHE
582,"020305",CHARAÑA,C10_municipios,CHARAÑA
583,"020306","WALDO BALLIVIAN",C10_municipios,"WALDO BALLIVIAN"
584,"020307","NAZACARA DE PACAJES",C10_municipios,"NAZACARA DE PACAJES"
585,"020308",CALLAPA,C10_municipios,CALLAPA
586,"020399",PACAJES,C10_municipios,PACAJES
587,"020401","PUERTO ACOSTA",C10_municipios,"PUERTO ACOSTA"
588,"020402",MOCOMOCO,C10_municipios,MOCOMOCO
589,"020403","PUERTO CARABUCO",C10_municipios,"PUERTO CARABUCO"
590,"020404",HUMANATA,C10_municipios,HUMANATA
591,"020405",ESCOMA,C10_municipios,ESCOMA
592,"020499","ELIODORO CAMACHO",C10_municipios,"ELIODORO CAMACHO"
593,"020501",CHUMA,C10_municipios,CHUMA
594,"020502",AYATA,C10_municipios,AYATA
595,"020503",AUCAPATA,C10_municipios,AUCAPATA
596,"020599",MUÑECAS,C10_municipios,MUÑECAS
597,"020601",SORATA,C10_municipios,SORATA
598,"020602",GUANAY,C10_municipios,GUANAY
599,"020603",TACACOMA,C10_municipios,TACACOMA
600,"020604",QUIABAYA,C10_municipios,QUIABAYA
601,"020605",COMBAYA,C10_municipios,COMBAYA
602,"020606",TIPUANI,C10_municipios,TIPUANI
603,"020607",MAPIRI,C10_municipios,MAPIRI
604,"020608",TEOPONTE,C10_municipios,TEOPONTE
605,"020699",LARECAJA,C10_municipios,LARECAJA
606,"020701",APOLO,C10_municipios,APOLO
607,"020702",PELECHUCO,C10_municipios,PELECHUCO
608,"020799","FRANZ TAMAYO",C10_municipios,"FRANZ TAMAYO"
609,"020801",VIACHA,C10_municipios,VIACHA
610,"020802",GUAQUI,C10_municipios,GUAQUI
611,"020803",TIAHUANACU,C10_municipios,TIAHUANACU
612,"020804",DESAGUADERO,C10_municipios,DESAGUADERO
613,"020805","SAN ANDRES DE MACHACA",C10_municipios,"SAN ANDRES DE MACHACA"
614,"020806","JESUS DE MACHACA",C10_municipios,"JESUS DE MACHACA"
615,"020807",TARACO,C10_municipios,TARACO
616,"020901",LURIBAY,C10_municipios,LURIBAY
617,"020902",SAPAHAQUI,C10_municipios,SAPAHAQUI
618,"020903",YACO,C10_municipios,YACO
619,"020904",MALLA,C10_municipios,MALLA
620,"020905",CAIROMA,C10_municipios,CAIROMA
621,"020999",LOAYZA,C10_municipios,LOAYZA
622,"021001",INQUISIVI,C10_municipios,INQUISIVI
623,"021002",QUIME,C10_municipios,QUIME
624,"021003",CAJUATA,C10_municipios,CAJUATA
625,"021004",COLQUIRI,C10_municipios,COLQUIRI
626,"021005",ICHOCA,C10_municipios,ICHOCA
627,"021006","VILLA LIBERTAD LICOMA",C10_municipios,"VILLA LIBERTAD LICOMA"
628,"021101",CHULUMANI,C10_municipios,CHULUMANI
629,"021102",IRUPANA,C10_municipios,IRUPANA
630,"021103",YANACACHI,C10_municipios,YANACACHI
631,"021104","PALOS BLANCOS",C10_municipios,"PALOS BLANCOS"
632,"021105","LA ASUNTA",C10_municipios,"LA ASUNTA"
633,"021199","SUD YUNGAS",C10_municipios,"SUD YUNGAS"
634,"021201",PUCARANI,C10_municipios,PUCARANI
635,"021202",LAJA,C10_municipios,LAJA
636,"021203",BATALLAS,C10_municipios,BATALLAS
637,"021204","PUERTO PEREZ",C10_municipios,"PUERTO PEREZ"
638,"021299","LOS ANDES",C10_municipios,"LOS ANDES"
639,"021301","SICA SICA",C10_municipios,"SICA SICA"
640,"021302",UMALA,C10_municipios,UMALA
641,"021303","AYO AYO",C10_municipios,"AYO AYO"
642,"021304",CALAMARCA,C10_municipios,CALAMARCA
643,"021305",PATACAMAYA,C10_municipios,PATACAMAYA
644,"021306",COLQUENCHA,C10_municipios,COLQUENCHA
645,"021307",COLLANA,C10_municipios,COLLANA
646,"021399",AROMA,C10_municipios,AROMA
647,"021401",COROICO,C10_municipios,COROICO
648,"021402",CORIPATA,C10_municipios,CORIPATA
649,"021499","NOR YUNGAS",C10_municipios,"NOR YUNGAS"
650,"021501",IXIAMAS,C10_municipios,IXIAMAS
651,"021502","SAN BUENAVENTURA",C10_municipios,"SAN BUENAVENTURA"
652,"021599","ABEL ITURRALDE",C10_municipios,"ABEL ITURRALDE"
653,"021601",CHARAZANI,C10_municipios,CHARAZANI
654,"021602",CURVA,C10_municipios,CURVA
655,"021699","BAUTISTA SAAVEDRA",C10_municipios,"BAUTISTA SAAVEDRA"
656,"021701",COPACABANA,C10_municipios,COPACABANA
657,"021702","SAN PEDRO DE TIQUINA",C10_municipios,"SAN PEDRO DE TIQUINA"
658,"021703","TITO YUPANQUI",C10_municipios,"TITO YUPANQUI"
659,"021799","MANCO KAPAC",C10_municipios,"MANCO KAPAC"
660,"021801","SAN PEDRO DE CURAHUARA",C10_municipios,"SAN PEDRO DE CURAHUARA"
661,"021802","PAPEL PAMPA",C10_municipios,"PAPEL PAMPA"
662,"021803",CHACARILLA,C10_municipios,CHACARILLA
663,"021899","GUALBERTO VILLARROEL",C10_municipios,"GUALBERTO VILLARROEL"
664,"021901","SANTIAGO DE MACHACA",C10_municipios,"SANTIAGO DE MACHACA"
665,"021902",CATACORA,C10_municipios,CATACORA
666,"021999","JOSE MANUEL PANDO",C10_municipios,"JOSE MANUEL PANDO"
667,"022001",CARANAVI,C10_municipios,CARANAVI
668,"022002","ALTO BENI",C10_municipios,"ALTO BENI"
669,"022003",ZONGO,C10_municipios,ZONGO
670,"029999",SACABA,C10_municipios,SACABA
671,"030101",COCHABAMBA,C10_municipios,COCHABAMBA
672,"030201",AIQUILE,C10_municipios,AIQUILE
673,"030202",PASORAPA,C10_municipios,PASORAPA
674,"030203",OMEREQUE,C10_municipios,OMEREQUE
675,"030299","NARCISO CAMPERO",C10_municipios,"NARCISO CAMPERO"
676,"030301",INDEPENDENCIA,C10_municipios,INDEPENDENCIA
677,"030302",MOROCHATA,C10_municipios,MOROCHATA
678,"030303",COCAPATA,C10_municipios,COCAPATA
679,"030399",AYOPAYA,C10_municipios,AYOPAYA
680,"030401",TARATA,C10_municipios,TARATA
681,"030402",ANZALDO,C10_municipios,ANZALDO
682,"030403",ARBIETO,C10_municipios,ARBIETO
683,"030404",SACABAMBA,C10_municipios,SACABAMBA
684,"030499","ESTEBAN ARCE",C10_municipios,"ESTEBAN ARCE"
685,"030501",ARANI,C10_municipios,ARANI
686,"030502",VACAS,C10_municipios,VACAS
687,"030601",ARQUE,C10_municipios,ARQUE
688,"030602",TACOPAYA,C10_municipios,TACOPAYA
689,"030701",CAPINOTA,C10_municipios,CAPINOTA
690,"030702",SANTIVAÑEZ,C10_municipios,SANTIVAÑEZ
691,"030703",SICAYA,C10_municipios,SICAYA
692,"030801",CLIZA,C10_municipios,CLIZA
693,"030802",TOCO,C10_municipios,TOCO
694,"030803",TOLATA,C10_municipios,TOLATA
695,"030899","GERMAN JORDAN",C10_municipios,"GERMAN JORDAN"
696,"030901",QUILLACOLLO,C10_municipios,QUILLACOLLO
697,"030902",SIPESIPE,C10_municipios,SIPESIPE
698,"030903",TIQUIPAYA,C10_municipios,TIQUIPAYA
699,"030904",VINTO,C10_municipios,VINTO
700,"030905",COLCAPIRHUA,C10_municipios,COLCAPIRHUA
701,"031001",SACABA,C10_municipios,SACABA
702,"031002",COLOMI,C10_municipios,COLOMI
703,"031003","VILLA TUNARI",C10_municipios,"VILLA TUNARI"
704,"031099",CHAPARE,C10_municipios,CHAPARE
705,"031101",TAPACARI,C10_municipios,TAPACARI
706,"031201",TOTORA,C10_municipios,TOTORA
707,"031202",POJO,C10_municipios,POJO
708,"031203",POCONA,C10_municipios,POCONA
709,"031204",CHIMORE,C10_municipios,CHIMORE
710,"031205","PUERTO VILLARROEL",C10_municipios,"PUERTO VILLARROEL"
711,"031206","ENTRE RIOS",C10_municipios,"ENTRE RIOS"
712,"031299",CARRASCO,C10_municipios,CARRASCO
713,"031301",MIZQUE,C10_municipios,MIZQUE
714,"031302","VILA VILA",C10_municipios,"VILA VILA"
715,"031303",ALALAY,C10_municipios,ALALAY
716,"031401",PUNATA,C10_municipios,PUNATA
717,"031402","VILLA RIVERO",C10_municipios,"VILLA RIVERO"
718,"031403","SAN BENITO",C10_municipios,"SAN BENITO"
719,"031404",TACACHI,C10_municipios,TACACHI
720,"031405",CUCHUMUELA,C10_municipios,CUCHUMUELA
721,"031501",BOLIVAR,C10_municipios,BOLIVAR
722,"031601",TIRAQUE,C10_municipios,TIRAQUE
723,"031602",SHINAHOTA,C10_municipios,SHINAHOTA
724,"031603",IVIRGARZAMA,C10_municipios,IVIRGARZAMA
725,"040101",ORURO,C10_municipios,ORURO
726,"040102",CARACOLLO,C10_municipios,CARACOLLO
727,"040103","EL CHORO",C10_municipios,"EL CHORO"
728,"040104","PARI - PARIA - SORACACHI",C10_municipios,"PARI - PARIA - SORACACHI"
729,"040199",CERCADO,C10_municipios,CERCADO
730,"040201",CHALLAPATA,C10_municipios,CHALLAPATA
731,"040202",QUILLACAS,C10_municipios,QUILLACAS
732,"040203",PISIGA,C10_municipios,PISIGA
733,"040299","EDUARDO AVAROA",C10_municipios,"EDUARDO AVAROA"
734,"040301",CORQUE,C10_municipios,CORQUE
735,"040302","CHOQUE COTA",C10_municipios,"CHOQUE COTA"
736,"040401","CURAHUARA DE CARANGAS",C10_municipios,"CURAHUARA DE CARANGAS"
737,"040402",TURCO,C10_municipios,TURCO
738,"040499",SAJAMA,C10_municipios,SAJAMA
739,"040501",HUACHACALLA,C10_municipios,HUACHACALLA
740,"040502",ESCARA,C10_municipios,ESCARA
741,"040503","CRUZ DE MACHACAMARCA",C10_municipios,"CRUZ DE MACHACAMARCA"
742,"040504","YUNGUYO DE LITORAL",C10_municipios,"YUNGUYO DE LITORAL"
743,"040505",ESMERALDA,C10_municipios,ESMERALDA
744,"040599",LITORAL,C10_municipios,LITORAL
745,"040601",POOPO,C10_municipios,POOPO
746,"040602",PAZÑA,C10_municipios,PAZÑA
747,"040603",ANTEQUERA,C10_municipios,ANTEQUERA
748,"040701",HUANUNI,C10_municipios,HUANUNI
749,"040702",MACHACAMARCA,C10_municipios,MACHACAMARCA
750,"040799","PANTALEON DALENCE",C10_municipios,"PANTALEON DALENCE"
751,"040801","SALINAS DE GARCI MENDOZA",C10_municipios,"SALINAS DE GARCI MENDOZA"
752,"040802","PAMPA AULLAGAS",C10_municipios,"PAMPA AULLAGAS"
753,"040899","LADISLAO CABRERA",C10_municipios,"LADISLAO CABRERA"
754,"040901",SABAYA,C10_municipios,SABAYA
755,"040902",COIPASA,C10_municipios,COIPASA
756,"040903",CHIPAYA,C10_municipios,CHIPAYA
757,"040909","LA JOYA",C10_municipios,"LA JOYA"
758,"040999",ATAHUALLPA,C10_municipios,ATAHUALLPA
759,"041001",TOLEDO,C10_municipios,TOLEDO
760,"041101",EUCALIPTUS,C10_municipios,EUCALIPTUS
761,"041199","TOMAS BARRON",C10_municipios,"TOMAS BARRON"
762,"041201","SANTIAGO DE ANDAMARCA",C10_municipios,"SANTIAGO DE ANDAMARCA"
763,"041202","BELEN DE ANDAMARCA",C10_municipios,"BELEN DE ANDAMARCA"
764,"041299","SUD CARANGAS",C10_municipios,"SUD CARANGAS"
765,"041301","SAN PEDRO DE TOTORA",C10_municipios,"SAN PEDRO DE TOTORA"
766,"041401",HUARI,C10_municipios,HUARI
767,"041499",HUARI,C10_municipios,HUARI
768,"041501","LA RIVERA",C10_municipios,"LA RIVERA"
769,"041502","TODOS LOS SANTOS",C10_municipios,"TODOS LOS SANTOS"
770,"041503",CARANGAS,C10_municipios,CARANGAS
771,"041599","PUERTO DE MEJILLONES",C10_municipios,"PUERTO DE MEJILLONES"
772,"041601",HUAYLLAMARCA,C10_municipios,HUAYLLAMARCA
773,"04203",PISIGA,C10_municipios,PISIGA
774,"049999","AYLLU SULLKA CALA VILLCA",C10_municipios,"AYLLU SULLKA CALA VILLCA"
775,"050101",POTOSI,C10_municipios,POTOSI
776,"050102",TINGUIPAYA,C10_municipios,TINGUIPAYA
777,"050103",YOCALLA,C10_municipios,YOCALLA
778,"050104",URMIRI,C10_municipios,URMIRI
779,"050199","TOMAS FRIAS",C10_municipios,"TOMAS FRIAS"
